iter	Passed	Remaining
416	2922	4085
417	2930	4079
418	2936	4072
419	2943	4064
420	2950	4057
421	2958	4052
422	2966	4046
423	2972	4038
424	2979	4030
425	2985	4022
426	2991	4014
427	2997	4006
428	3004	3998
429	3010	3991
430	3017	3983
431	3024	3976
432	3030	3968
433	3037	3961
434	3043	3953
435	3050	3946
436	3057	3938
437	3063	3931
438	3070	3923
439	3076	3915
440	3083	3908
441	3089	3900
442	3096	3892
443	3103	3886
444	3112	3881
445	3123	3879
446	3131	3874
447	3138	3866
448	3146	3860
449	3152	3853
450	3159	3846
451	3165	3838
452	3173	3831
453	3178	3823
454	3186	3816
455	3193	3809
456	3201	3803
457	3209	3798
458	3216	3791
459	3224	3785
460	3231	3778
461	3239	3772
462	3246	3765
463	3253	3758
464	3261	3752
465	3268	3745
466	3275	3738
467	3282	3731
468	3290	3725
469	3298	3719
470	3305	3712
471	3312	3705
472	3318	3697
473	3324	3689
474	3332	3682
475	3338	3675
476	3346	3668
477	3352	3661
478	3359	3653
479	3365	3646
480	3372	3638
481	3379	3632
482	3386	3624
483	3393	3618
484	3399	3610
485	3406	3602
486	3412	3594
487	3419	3587
488	3425	3579
489	3432	3572
490	3438	3564
491	3445	3557
492	3452	3550
493	3458	3542
494	3465	3535
495	3471	3527
496	3478	3520
497	3485	3513
498	3491	3505
499	3497	3497
500	3504	3490
501	3510	3482
502	3517	3475
503	3524	3468
504	3531	3461
505	3538	3454
506	3545	3447
507	3551	3440
508	3558	3432
509	3565	3425
510	3572	3419
511	3579	3411
512	3586	3404
513	3593	3397
514	3600	3391
515	3607	3384
516	3613	3376
517	3621	3370
518	3628	3362
519	3635	3356
520	3641	3347
521	3648	3340
522	3655	3334
523	3662	3326
524	3669	3319
525	3675	3311
526	3681	3304
527	3689	3298
528	3696	3291
529	3705	3285
530	3713	3279
531	3720	3273
532	3729	3267
533	3736	3260
534	3743	3254
535	3751	3247
536	3760	3242
537	3767	3235
538	3779	3232
539	3786	3225
540	3794	3219
541	3800	3211
542	3807	3204
543	3814	3197
544	3820	3189
545	3827	3182
546	3833	3174
547	3840	3167
548	3846	3159
549	3852	3152
550	3859	3144
551	3865	3136
552	3871	3129
553	3877	3121
554	3884	3114
555	3890	3106
556	3896	3098
557	3903	3092
558	3909	3084
559	3918	3078
560	3930	3075
561	3939	3069
562	3947	3064
563	3955	3057
564	3962	3051
565	3970	3044
566	3977	3037
567	3984	3030
568	3991	3023
569	3999	3017
570	4006	3010
571	4014	3003
572	4021	2996
573	4029	2990
574	4036	2983
575	4043	2976
576	4051	2970
577	4059	2963
578	4066	2957
579	4074	2950
580	4081	2943
581	4089	2937
582	4097	2931
583	4105	2924
584	4114	2918
585	4122	2912
586	4130	2905
587	4137	2899
588	4145	2892
589	4153	2886
590	4162	2880
591	4171	2874
592	4179	2868
593	4186	2861
594	4194	2855
595	4201	2848
596	4209	2841
597	4216	2834
598	4224	2828
599	4231	2821
600	4239	2814
601	4246	2807
602	4253	2800
603	4260	2793
604	4268	2786
605	4275	2779
606	4281	2772
607	4288	2764
608	4294	2757
609	4301	2749
610	4307	2742
611	4313	2734
612	4320	2727
613	4326	2719
614	4332	2712
615	4338	2704
616	4345	2697
617	4351	2689
618	4357	2682
619	4364	2675
620	4373	2669
621	4379	2661
622	4386	2654
623	4392	2646
624	4398	2639
625	4405	2632
626	4412	2624
627	4418	2617
628	4425	2610
629	4432	2603
630	4440	2596
631	4446	2589
632	4454	2582
633	4461	2575
634	4467	2568
635	4473	2560
636	4480	2553
637	4486	2545
638	4492	2538
639	4498	2530
640	4505	2523
641	4511	2515
642	4517	2508
643	4524	2500
644	4530	2493
645	4536	2486
646	4546	2480
647	4552	2473
648	4559	2466
649	4565	2458
650	4572	2451
651	4578	2443
652	4585	2436
653	4592	2429
654	4598	2422
655	4604	2414
656	4611	2407
657	4617	2400
658	4624	2392
659	4631	2385
660	4637	2378
661	4643	2370
662	4650	2363
663	4656	2356
664	4662	2349
665	4669	2341
666	4675	2334
667	4682	2327
668	4690	2320
669	4696	2313
670	4704	2306
671	4712	2300
672	4718	2292
673	4725	2285
674	4734	2279
675	4741	2272
676	4747	2265
677	4754	2257
678	4759	2250
679	4766	2242
680	4772	2235
681	4778	2228
682	4785	2220
683	4791	2213
684	4797	2206
685	4803	2198
686	4810	2191
687	4816	2184
688	4822	2176
689	4829	2169
690	4836	2162
691	4843	2155
692	4849	2148
693	4856	2141
694	4862	2134
695	4869	2126
696	4875	2119
697	4881	2112
698	4888	2104
699	4894	2097
700	4900	2090
701	4908	2083
702	4914	2076
703	4921	2069
704	4927	2061
705	4933	2054
706	4941	2047
707	4947	2040
708	4955	2033
709	4961	2026
710	4968	2019
711	4975	2012
712	4981	2004
713	4987	1997
714	4994	1990
715	5000	1983
716	5005	1975
717	5011	1968
718	5018	1961
719	5024	1953
720	5030	1946
721	5037	1939
722	5045	1932
723	5051	1925
724	5057	1918
725	5066	1911
726	5072	1904
727	5079	1897
728	5085	1890
729	5092	1883
730	5099	1876
731	5105	1869
732	5113	1862
733	5119	1855
734	5126	1848
735	5133	1841
736	5139	1834
737	5147	1827
738	5154	1820
739	5161	1813
740	5168	1806
741	5175	1799
742	5183	1792
743	5190	1785
744	5197	1779
745	5205	1772
746	5213	1765
747	5220	1758
748	5227	1751
749	5235	1745
750	5242	1738
751	5249	1731
752	5257	1724
753	5265	1717
754	5272	1710
755	5278	1703
756	5284	1696
757	5291	1689
758	5297	1682
759	5304	1675
760	5310	1667
761	5318	1661
762	5325	1654
763	5332	1647
764	5338	1640
765	5345	1632
766	5351	1625
767	5357	1618
768	5363	1611
769	5370	1604
770	5376	1596
771	5382	1589
772	5389	1582
773	5395	1575
774	5401	1568
775	5406	1560
776	5413	1553
777	5420	1546
778	5426	1539
779	5433	1532
780	5439	1525
781	5445	1518
782	5451	1510
783	5457	1503
784	5464	1496
785	5470	1489
786	5476	1482
787	5482	1475
788	5489	1467
789	5495	1460
790	5501	1453
791	5511	1447
792	5519	1440
793	5526	1433
794	5533	1426
795	5539	1419
796	5546	1412
797	5552	1405
798	5558	1398
799	5565	1391
800	5572	1384
801	5579	1377
802	5585	1370
803	5591	1363
804	5597	1356
805	5604	1348
806	5610	1341
807	5617	1334
808	5623	1327
809	5630	1320
810	5637	1313
811	5643	1306
812	5652	1300
813	5659	1293
814	5666	1286
815	5673	1279
816	5680	1272
817	5686	1265
818	5691	1257
819	5697	1250
820	5704	1243
821	5710	1236
822	5716	1229
823	5722	1222
824	5730	1215
825	5737	1208
826	5744	1201
827	5752	1194
828	5759	1187
829	5765	1180
830	5772	1174
831	5779	1166
832	5785	1159
833	5792	1152
834	5798	1145
835	5804	1138
836	5811	1131
837	5818	1124
838	5824	1117
839	5831	1110
840	5838	1103
841	5844	1096
842	5851	1089
843	5858	1082
844	5864	1075
845	5872	1069
846	5879	1062
847	5886	1055
848	5892	1048
849	5899	1041
850	5905	1034
851	5912	1027
852	5918	1020
853	5926	1013
854	5932	1006
855	5938	999
856	5945	992
857	5952	985
858	5958	978
859	5964	971
860	5971	963
861	5977	956
862	5983	949
863	5989	942
864	5995	935
865	6003	928
866	6009	921
867	6018	915
868	6025	908
869	6031	901
870	6039	894
871	6045	887
872	6053	880
873	6060	873
874	6067	866
875	6073	859
876	6079	852
877	6086	845
878	6094	838
879	6101	832
880	6108	825
881	6114	818
882	6121	811
883	6127	804
884	6134	797
885	6141	790
886	6147	783
887	6154	776
888	6160	769
889	6166	762
890	6173	755
891	6179	748
892	6185	741
893	6191	734
894	6198	727
895	6204	720
896	6211	713
897	6217	706
898	6224	699
899	6230	692
900	6237	685
901	6243	678
902	6250	671
903	6256	664
904	6263	657
905	6269	650
906	6275	643
907	6282	636
908	6288	629
909	6295	622
910	6300	615
911	6307	608
912	6316	601
913	6324	595
914	6331	588
915	6337	581
916	6344	574
917	6351	567
918	6358	560
919	6363	553
920	6370	546
921	6376	539
922	6382	532
923	6390	525
924	6397	518
925	6406	511
926	6412	505
927	6419	498
928	6425	491
929	6432	484
930	6438	477
931	6453	470
932	6460	463
933	6468	457
934	6475	450
935	6482	443
936	6489	436
937	6496	429
938	6503	422
939	6510	415
940	6517	408
941	6525	401
942	6531	394
943	6538	387
944	6546	380
945	6554	374
946	6561	367
947	6567	360
948	6574	353
949	6580	346
950	6589	339
951	6595	332
952	6602	325
953	6609	318
954	6615	311
955	6623	304
956	6631	297
957	6637	291
958	6644	284
959	6651	277
960	6658	270
961	6666	263
962	6672	256
963	6681	249
964	6689	242
965	6695	235
966	6701	228
967	6708	221
968	6714	214
969	6720	207
970	6727	200
971	6735	194
972	6743	187
973	6751	180
974	6759	173
975	6767	166
976	6774	159
977	6781	152
978	6789	145
979	6796	138
980	6804	131
981	6812	124
982	6821	117
983	6829	111
984	6836	104
985	6843	97
986	6850	90
987	6857	83
988	6864	76
989	6872	69
990	6881	62
991	6888	55
992	6895	48
993	6903	41
994	6911	34
995	6919	27
996	6927	20
997	6934	13
998	6941	6
999	6947	0
