iter	Logloss
0	0.6564285453
1	0.6214282669
2	0.5928623073
3	0.5645236141
4	0.538531425
5	0.5161859026
6	0.4971992275
7	0.4796990841
8	0.4637899709
9	0.4498174277
10	0.4368166259
11	0.425814794
12	0.4149690158
13	0.4058432888
14	0.3978665194
15	0.3903173254
16	0.3842812769
17	0.3785091389
18	0.373179865
19	0.3687030411
20	0.3641424682
21	0.3605441002
22	0.3568940793
23	0.3534956727
24	0.3499729916
25	0.3471618867
26	0.3441837514
27	0.3415786257
28	0.3396049264
29	0.3375025198
30	0.3359095934
31	0.3346086465
32	0.333077932
33	0.3315464674
34	0.329662896
35	0.3286072989
36	0.3271844857
37	0.3257913874
38	0.3244932239
39	0.3232466171
40	0.3221388629
41	0.3208781056
42	0.3198454906
43	0.3190504386
44	0.3181247963
45	0.3173527827
46	0.3165268832
47	0.3159194384
48	0.3153045346
49	0.3145305573
50	0.3138969485
51	0.3133326352
52	0.3126957494
53	0.3121053596
54	0.3115528932
55	0.3108639024
56	0.3103198195
57	0.309862513
58	0.3092810587
59	0.3084567493
60	0.3077432361
61	0.3071138883
62	0.3066965428
63	0.3062435925
64	0.3058148611
65	0.3053870053
66	0.3049587574
67	0.3046241879
68	0.3041005334
69	0.3036358346
70	0.3032521275
71	0.3027971512
72	0.302438259
73	0.3020442609
74	0.3016866579
75	0.3013804582
76	0.3010663238
77	0.3006470148
78	0.3003411247
79	0.2999270708
80	0.2995926234
81	0.2991914508
82	0.2987282319
83	0.2985027018
84	0.2982777689
85	0.2980519768
86	0.2978212462
87	0.2975533841
88	0.2970612095
89	0.2967223364
90	0.2964821733
91	0.2962533087
92	0.2959481078
93	0.2957154144
94	0.2954070215
95	0.2951159354
96	0.2948254099
97	0.2943559889
98	0.2941591539
99	0.2939344381
100	0.2936866779
101	0.2933842321
102	0.2929941534
103	0.2928521757
104	0.2925350537
105	0.2923386461
106	0.2921628791
107	0.2918309144
108	0.2916046543
109	0.2914738475
110	0.2912816795
111	0.2911229742
112	0.290956058
113	0.2906676343
114	0.2905231397
115	0.2903268559
116	0.290104979
117	0.2899540017
118	0.2898138019
119	0.2896078535
120	0.2894509822
121	0.2892435263
122	0.2890444402
123	0.2886986646
124	0.2885908168
125	0.2884227977
126	0.288221692
127	0.2880993575
128	0.2879730711
129	0.287787403
130	0.2876234266
131	0.2874974175
132	0.2873887763
133	0.2872279418
134	0.2870670345
135	0.2869304627
136	0.2867224139
137	0.2865651014
138	0.2864151401
139	0.2862960807
140	0.286105702
141	0.2860258859
142	0.2859199243
143	0.2858049582
144	0.2856689188
145	0.2856051632
146	0.2854583886
147	0.2853125335
148	0.2851623842
149	0.2849031636
150	0.2847838576
151	0.284629592
152	0.2845401716
153	0.2844137172
154	0.2841585174
155	0.2840475294
156	0.2839852849
157	0.2838215989
158	0.2836973309
159	0.2835618102
160	0.2834165533
161	0.2833314435
162	0.2830590303
163	0.2829368403
164	0.2828364896
165	0.2826503994
166	0.2825293552
167	0.2824090233
168	0.2821324003
169	0.2820978287
170	0.281988639
171	0.2819070071
172	0.2817601037
173	0.2816562861
174	0.2815844729
175	0.2814967204
176	0.2812569994
177	0.2811432313
178	0.2810578024
179	0.2809998946
180	0.2808578487
181	0.2807870062
182	0.2807117402
183	0.2806032573
184	0.2804493866
185	0.2803350516
186	0.2802011599
187	0.2800324098
188	0.2799329097
189	0.2798561403
190	0.2796257562
191	0.2795444009
192	0.2794360824
193	0.2792786017
194	0.2791903656
195	0.2791196324
196	0.2790445144
197	0.2789436471
198	0.2787708683
199	0.2786874866
200	0.2785973353
201	0.2785182575
202	0.2784694215
203	0.2783885934
204	0.278314424
205	0.2782436978
206	0.2781257238
207	0.2780660183
208	0.2779341242
209	0.2778576476
210	0.277762859
211	0.2776431885
212	0.2775679989
213	0.2774950776
214	0.2774154285
